Course, From, Skill
ETL مع  Python :  استخراج وتحويل وتحميل البيانات, Coursera Project Network, Python Programming
لعبة الثعبان عن طريق python:استخدم pygame لتصنع لعبتك الخاصة, Coursera Project Network, Python Programming
ETL pipelines con Python: recopila datos de Spotify, Coursera Project Network, Python Programming
Gestión de Datos con Python: Crea una aplicación con MongoDB, Coursera Project Network, NoSQL  Python Programming
برنامج تنبيه سطح المكتب باستخدام Python: إشعارات Covid-19, Coursera Project Network, Python Programming
MatplotLib Python باستخدام  plots إنشاء ال, Coursera Project Network, Python Programming
Python في Pygame تصميم و تطوير لعبة العقبات باستخدام, Coursera Project Network, Computer Programming  Python Programming  Software Engineering
Tabulando funciones trigonométricas inversas con Python, Coursera Project Network, Python Programming
Tabulando funciones cuadráticas con Python, Coursera Project Network, Python Programming
Graficando funciones trigonométricas con Python, Coursera Project Network, Python Programming
Tabulando funciones trigonométricas con Python, Coursera Project Network, Python Programming
Graficando funciones cuadráticas con Python, Coursera Project Network, Python Programming
Graficando funciones trigonométricas inversas con Python, Coursera Project Network, Python Programming
Descubriendo funciones trigonométricas inversas con Python, Coursera Project Network, Python Programming
Gestión de Datos Python: Actualiza Bases de Datos en una App, Coursera Project Network, Python Programming
Descubriendo funciones trigonométricas con Python, Coursera Project Network, Python Programming
Llama for Python Programmers, University of Michigan, Machine Learning
Image Compression and Generation using Variational Autoencoders in Python, Coursera Project Network, Machine Learning
Gen AI for Code Generation for Python, Edureka, Machine Learning  Dimensionality Reduction
Customer Service with Python:  Build a Chatbot using ChatGPT, Coursera Project Network, Machine Learning  Dimensionality Reduction
Robot Localization with Python and Particle Filters, Coursera Project Network, Machine Learning  Dimensionality Reduction
Introduction to Customer Segmentation in Python, Coursera Project Network, Machine Learning  Dimensionality Reduction
Encryption with Python: Encrypt data with key pairs, Coursera Project Network, Cryptography
Python for Command-and-control  Exfiltration and Impact, Infosec, Data Visualization  Exploratory Data Analysis
Juniper Networks Automation Using Python and PyEZ, Juniper Networks, Data Visualization  Exploratory Data Analysis
7. Python を使ったサイバーセキュリティ タスクの自動化, Google, Data Visualization  Exploratory Data Analysis
FIFA20 Data Exploration using Python, Coursera Project Network, Data Visualization  Exploratory Data Analysis
Introduction to Statistics in Python, Coursera Project Network, Machine Learning  Computer Vision  Deep Learning
Build a Machine Learning Image Classifier with Python, Coursera Project Network, Machine Learning  Computer Vision  Deep Learning
Series Temporales con Pycaret y Python, Coursera Project Network, Machine Learning
Python para principiantes: Variables y cadenas, Coursera Project Network, Data Analysis
COVID-19 : Les séries temporelles avec Python et Pandas, Coursera Project Network, Data Analysis
Python Basics: Automation and Bots, University of California  Davis, Data Mining  Machine Learning
Data Analysis with Python Project, University of Colorado Boulder, Data Mining  Machine Learning
Big Ideas in Programming: Expressing Yourself with Python, University of Michigan, Data Visualization  Interactive Data Visualization
Data Visualization & Storytelling in Python, Coursera Project Network, Data Visualization  Interactive Data Visualization
Use Python to Create a Web Testing Bot, Coursera Project Network, Leadership and Management  Strategy  Data Management  Databases  Business Analysis  Market Analysis
Uso de bases de datos con Python, University of Michigan, Leadership and Management  Strategy  Data Management  Databases  Business Analysis  Market Analysis
Introduction to Linear Algebra and Python, Howard University, Data Visualization  Exploratory Data Analysis  Interactive Data Visualization
Practical Python for AI Coding 2, Korea Advanced Institute of Science and Technology(KAIST), Data Visualization  Exploratory Data Analysis  Interactive Data Visualization
Exploratory vs Confirmatory data analysis using Python, Coursera Project Network, Data Visualization  Exploratory Data Analysis  Interactive Data Visualization
Data Wrangling with Python Project, University of Colorado Boulder, Data Mining  Data Visualization
Data Visualization with Python & R for Engineers, Northeastern University, Machine Learning  Natural Language Processing
Statistical Analysis using Python Numpy, Coursera Project Network, Machine Learning  Natural Language Processing
Language Classification with Naive Bayes in Python, Coursera Project Network, Machine Learning  Natural Language Processing
Analyser vos données avec Python, Coursera Project Network, 
البرمجة في لغة Python, Meta, Mathematics
Fundamental Linear Algebra Concepts with Python, Howard University, Mathematics
Working with AWS S3 Buckets using Python & boto3, Coursera Project Network, Cloud Storage
Estruturas de dados Python, University of Michigan, Computer Architecture  Data Management  Database Application  Databases  Problem Solving
Analiza tu mercado con Python, Coursera Project Network, Data Visualization
DataViz - Grammaire des Graphiques avec Python, Coursera Project Network, Data Visualization
تصميم واجهة برمجة تطبيق ب Python Flask : إنشاء واجهة لمدونة, Coursera Project Network, Machine Learning  Computer Vision
Image Segmentation with Python and Unsupervised Learning, Coursera Project Network, Machine Learning  Computer Vision
Python에서 데이터베이스 사용하기, University of Michigan, 
Python Basics: Problem Solving with Code, University of California  Davis, 
Python Basics: Retrieving Online Data, University of California  Davis, 
Visualizaciones de Datos con Python utilizando Matplotlib, Coursera Project Network, 
Neural Network Visualizer Web App with Python, Coursera Project Network, Artificial Neural Networks  Machine Learning  Data Science  Deep Learning
Dataflow: Qwik Start - Python, Google Cloud, Business Analysis  Data Analysis  Leadership and Management
Python per la Data Science, Università di Napoli Federico II, Business Analysis  Data Analysis  Leadership and Management
Data Processing using Python Collections, Coursera Project Network, Data Analysis  Machine Learning
Python para el análisis de datos: Pandas y NumPy, Coursera Project Network, Data Analysis  Machine Learning
